business_name,business_city,business_state,business_postal_code,inspection_id,inspection_score,lowest_score,violation_description
ALVARADO ELEMENTARY SCHOOL,San Francisco,CA,94114,5815_20190228,93.0,36,High risk food holding temperature.
ALX,San Francisco,CA,94107,95022_20190501,92.0,69,Noncompliance with shell fish tags or display. Moderate risk food holding temperature.
AMASIA HIDE'S SUSHI BAR,San Francisco,CA,94114,1280_20180327,92.0,63,Inadequate food safety knowledge or lack of certified food safety manager. Wiping cloths not clean or properly stored or inadequate sanitizer. Unclean or degraded floors walls or ceilings.
AMASIA HIDE'S SUSHI BAR,San Francisco,CA,94114,1280_20190219,93.0,37,Unclean or unsanitary food contact surfaces.
AMC Theatres Metreon 16 - Main Stand,San Francisco,CA,94103,18577_20161213,96.0,60,Moderate risk vermin infestation.
AMC Theatres Metreon 16 - Main Stand,San Francisco,CA,94103,18577_20180214,92.0,58,Moderate risk vermin infestation. Foods not protected from contamination.
AMC Theatres Metreon 16 - Main Stand,San Francisco,CA,94103,18577_20190222,89.0,38,Inadequately cleaned or sanitized food contact surfaces. High risk food holding temperature.
AMC-Level #2,San Francisco,CA,94109,5083_20170921,90.0,65,Insufficient hot water or running water. Permit license or inspection report not posted. Wiping cloths not clean or properly stored or inadequate sanitizer. Unclean or degraded floors walls or ceilings.
AMC-Level #2,San Francisco,CA,94109,5083_20180313,90.0,55,Unapproved or unmaintained equipment or utensils. Insufficient hot water or running water. Unclean nonfood contact surfaces. Permit license or inspection report not posted.
AMERICANA GRILL & FOUNTAIN,San Francisco,CA,94121,2505_20170224,96.0,62,Inadequately cleaned or sanitized food contact surfaces.
AMERICANA GRILL & FOUNTAIN,San Francisco,CA,94121,2505_20180430,90.0,57,Moderate risk vermin infestation. Foods not protected from contamination. Unclean or degraded floors walls or ceilings.
AMERICANA GRILL & FOUNTAIN,San Francisco,CA,94121,2505_20190314,91.0,49,Improper cooling methods. Low risk vermin infestation.
AMICI'S EAST COAST PIZZERIA,San Francisco,CA,94103,100017_20190816,91.0,36,Improper cooling methods. Improper food storage.
AMICI'S EAST COAST PIZZERIA,San Francisco,CA,94107,10127_20180417,96.0,55,Moderate risk food holding temperature.
AMIRO RIGHT WAY MARKET & DELI,San Francisco,CA,94102,98904_20190222,86.0,58,Unapproved or unmaintained equipment or utensils. Moderate risk food holding temperature. Inadequate and inaccessible handwashing facilities. Moderate risk vermin infestation.
AMSTERDAM,San Francisco,CA,94109,97801_20190404,94.0,55,Inadequate and inaccessible handwashing facilities. Inadequate warewashing facilities or equipment.
AN CHI,San Francisco,CA,94121,97896_20190304,83.0,35,Wiping cloths not clean or properly stored or inadequate sanitizer. Improper cooling methods. Foods not protected from contamination. Inadequate and inaccessible handwashing facilities.
ANANDA FUARA,San Francisco,CA,94102,2561_20180125,94.0,54,Moderate risk vermin infestation. Unapproved or unmaintained equipment or utensils.
ANCHOR OYSTER BAR INC.,San Francisco,CA,94114,1294_20170106,93.0,45,Unclean hands or improper use of gloves.
ANCHOR OYSTER BAR INC.,San Francisco,CA,94114,1294_20181210,96.0,68,Foods not protected from contamination.
ANDERSEN BAKERY,San Francisco,CA,94115,642_20180426,96.0,77,Unapproved or unmaintained equipment or utensils. Improper food storage.
ANDERSEN BAKERY,San Francisco,CA,94115,642_20190305,90.0,69,Inadequate and inaccessible handwashing facilities. Inadequately cleaned or sanitized food contact surfaces. Low risk vermin infestation.
ANDYTOWN COFFEE ROASTERS,San Francisco,CA,94105,98282_20190530,96.0,55,Foods not protected from contamination.
ANGELINA'S DELI-CAFE & CATERING,San Francisco,CA,94121,826_20170724,90.0,83,Unclean or degraded floors walls or ceilings. Improper food storage. Inadequate warewashing facilities or equipment. Wiping cloths not clean or properly stored or inadequate sanitizer. Inadequate dressing rooms or improper storage of personal items.
ANGELINA'S DELI-CAFE & CATERING,San Francisco,CA,94121,826_20180727,94.0,93,No thermometers or uncalibrated thermometers. Wiping cloths not clean or properly stored or inadequate sanitizer. Unclean or degraded floors walls or ceilings.
ANGELINA'S DELI-CAFE & CATERING,San Francisco,CA,94121,826_20190301,94.0,59,Inadequately cleaned or sanitized food contact surfaces. Low risk vermin infestation.
ANGELINA'S DELI-CAFE & CATERING,San Francisco,CA,94121,826_20190925,90.0,69,Unapproved or unmaintained equipment or utensils. Inadequately cleaned or sanitized food contact surfaces. Moderate risk food holding temperature.
"ANGLER SF, LLC",San Francisco,CA,94105,96634_20190502,88.0,52,Noncompliance with shell fish tags or display. Inadequate and inaccessible handwashing facilities. Inadequately cleaned or sanitized food contact surfaces.
ANH HONG PHU-NHUAN RESTAURANT,San Francisco,CA,94109,2109_20170215,77.0,5,Insufficient hot water or running water. Improper food storage. Inadequately cleaned or sanitized food contact surfaces. High risk vermin infestation. Inadequate ventilation or lighting. Improper thawing methods.
ANH HONG PHU-NHUAN RESTAURANT,San Francisco,CA,94109,2109_20180201,90.0,61,Inadequately cleaned or sanitized food contact surfaces. Unclean nonfood contact surfaces. Low risk vermin infestation. Unclean unmaintained or improperly constructed toilet facilities.
ANH HONG PHU-NHUAN RESTAURANT,San Francisco,CA,94109,2109_20180815,90.0,53,Moderate risk food holding temperature. Unclean or degraded floors walls or ceilings. Improper thawing methods.
ANH HONG PHU-NHUAN RESTAURANT,San Francisco,CA,94109,2109_20190606,86.0,60,Unclean or degraded floors walls or ceilings. Unclean unmaintained or improperly constructed toilet facilities. Inadequately cleaned or sanitized food contact surfaces. Foods not protected from contamination. Unapproved or unmaintained equipment or utensils.
ANZU Restaurant,San Francisco,CA,94102,62550_20161128,78.0,68,Foods not protected from contamination. Moderate risk food holding temperature. Improper food storage. Inadequate and inaccessible handwashing facilities. No thermometers or uncalibrated thermometers. Unclean or degraded floors walls or ceilings. Improper thawing methods.
ANZU Restaurant,San Francisco,CA,94102,62550_20190412,96.0,65,Insufficient hot water or running water.
AP's Cafe,San Francisco,CA,94114,77769_20171027,88.0,62,Wiping cloths not clean or properly stored or inadequate sanitizer. Inadequate and inaccessible handwashing facilities. Moderate risk food holding temperature. Unclean nonfood contact surfaces.
AP's Cafe,San Francisco,CA,94114,77769_20180717,90.0,54,Inadequately cleaned or sanitized food contact surfaces. Improper food labeling or menu misrepresentation. Unclean nonfood contact surfaces. Permit license or inspection report not posted.
APTOS MIDDLE SCHOOL,San Francisco,CA,94127,5796_20170209,87.0,35,Unapproved or unmaintained equipment or utensils. No thermometers or uncalibrated thermometers. High risk food holding temperature. Unclean or degraded floors walls or ceilings.
APTOS MIDDLE SCHOOL,San Francisco,CA,94127,5796_20170825,98.0,84,Improper food storage.
APTOS MIDDLE SCHOOL,San Francisco,CA,94127,5796_20180209,94.0,95,Unapproved or unmaintained equipment or utensils. Improper food storage. Food safety certificate or food handler card not available.
ARAMEX,San Francisco,CA,94110,97879_20181227,85.0,50,Improper cooling methods. Foods not protected from contamination. Inadequately cleaned or sanitized food contact surfaces.
ARAMEX,San Francisco,CA,94110,97879_20190905,88.0,64,Moderate risk food holding temperature. Wiping cloths not clean or properly stored or inadequate sanitizer. Inadequate and inaccessible handwashing facilities. Unapproved or unmaintained equipment or utensils.
ARCHBISHOP RIORDAN HIGH SCHOOL CAFE,San Francisco,CA,94112,5925_20170131,90.0,68,Inadequate sewage or wastewater disposal. Inadequate and inaccessible handwashing facilities. Unclean or degraded floors walls or ceilings.
ARCHBISHOP RIORDAN HIGH SCHOOL CAFE,San Francisco,CA,94112,5925_20170920,94.0,68,Inadequate and inaccessible handwashing facilities. Unclean or degraded floors walls or ceilings.
ARCHBISHOP RIORDAN HIGH SCHOOL CAFE,San Francisco,CA,94112,5925_20180223,90.0,63,Inadequate and inaccessible handwashing facilities. Wiping cloths not clean or properly stored or inadequate sanitizer. Low risk vermin infestation. Unclean or degraded floors walls or ceilings.
ARCHBISHOP RIORDAN HIGH SCHOOL CAFE,San Francisco,CA,94112,5925_20190225,96.0,78,Improper or defective plumbing. Low risk vermin infestation.
ARGONNE ALTERNATIVE ELEMENTARY SCHO,San Francisco,CA,94118,5912_20170412,96.0,69,Foods not protected from contamination.
ARGONNE ALTERNATIVE ELEMENTARY SCHO,San Francisco,CA,94118,5912_20180223,93.0,50,No hot water or running water.
ARIAKE,San Francisco,CA,94118,2667_20170707,78.0,40,Unclean or unsanitary food contact surfaces. Improper food storage. Improper storage use or identification of toxic substances. Inadequate and inaccessible handwashing facilities. High risk food holding temperature.
ARIAKE,San Francisco,CA,94118,2667_20180607,93.0,25,Unclean or unsanitary food contact surfaces.
ARIAKE,San Francisco,CA,94118,2667_20190304,92.0,55,Improper or defective plumbing. Inadequately cleaned or sanitized food contact surfaces. Wiping cloths not clean or properly stored or inadequate sanitizer.
ARIAKE,San Francisco,CA,94118,2667_20190918,92.0,53,Unapproved or unmaintained equipment or utensils. Moderate risk food holding temperature. Wiping cloths not clean or properly stored or inadequate sanitizer.
ARINELL PIZZA,San Francisco,CA,94110,1081_20171106,88.0,70,Moderate risk vermin infestation. Inadequate procedures or records for time as a public health control. Inadequately cleaned or sanitized food contact surfaces.
ARINELL PIZZA,San Francisco,CA,94110,1081_20180523,94.0,68,Inadequately cleaned or sanitized food contact surfaces. Food safety certificate or food handler card not available.
ARINELL PIZZA,San Francisco,CA,94110,1081_20190417,89.0,11,High risk vermin infestation. Inadequately cleaned or sanitized food contact surfaces.
ARIZMENDI BAKERY,San Francisco,CA,94122,7755_20170816,92.0,90,Wiping cloths not clean or properly stored or inadequate sanitizer. Unclean nonfood contact surfaces. Unclean or degraded floors walls or ceilings. Other low risk violation.
ARIZMENDI BAKERY,San Francisco,CA,94122,7755_20180904,92.0,61,Wiping cloths not clean or properly stored or inadequate sanitizer. Inadequate procedures or records for time as a public health control. Unclean or degraded floors walls or ceilings.
ARLEQUIN,San Francisco,CA,94102,192_20170626,86.0,34,High risk food holding temperature. Unclean or unsanitary food contact surfaces.
ART'S CAFE,San Francisco,CA,94122,48_20180216,94.0,51,Unclean or degraded floors walls or ceilings. Moderate risk food holding temperature.
ART'S CAFE,San Francisco,CA,94122,48_20181011,87.0,13,High risk vermin infestation. Unclean or degraded floors walls or ceilings. Moderate risk food holding temperature.
ASHLEY'S CAFE,San Francisco,CA,94118,97356_20190214,88.0,64,Moderate risk food holding temperature. Improper storage of equipment utensils or linens. Unapproved or unmaintained equipment or utensils. Moderate risk vermin infestation.
ASHLEY'S CAFE,San Francisco,CA,94118,97356_20190823,70.0,11,Other low risk violation. Moderate risk food holding temperature. Foods not protected from contamination. Improper storage use or identification of toxic substances. Unclean or unsanitary food contact surfaces. Unclean or degraded floors walls or ceilings. High risk vermin infestation. Unapproved or unmaintained equipment or utensils.
ASIA SF LLC,San Francisco,CA,94103,4335_20171026,82.0,12,High risk vermin infestation. High risk food holding temperature. Unclean or degraded floors walls or ceilings. Unapproved or unmaintained equipment or utensils.
ASIA SF LLC,San Francisco,CA,94103,4335_20190417,83.0,10,Moderate risk vermin infestation. Unclean or unsanitary food contact surfaces. Unclean or degraded floors walls or ceilings. Foods not protected from contamination.
ASIAN AMER.RECOVERY SERVICES,San Francisco,CA,94117,5770_20190521,90.0,60,Moderate risk vermin infestation. Unapproved or unmaintained equipment or utensils. Improper thawing methods.
AT&T - (CART 45) SNOW CONES view [145132],San Francisco,CA,94107,5463_20170424,98.0,71,Improper storage of equipment utensils or linens.
AT&T - (CART 45) SNOW CONES view [145132],San Francisco,CA,94107,5463_20170919,93.0,39,Unclean hands or improper use of gloves.
AT&T - (J-2A) BEN & JERRY'S,San Francisco,CA,94107,5521_20180928,87.0,28,High risk food holding temperature. Inadequate and inaccessible handwashing facilities. Improper food storage.
AT&T - COMMISARY KITCHEN [145184],San Francisco,CA,94107,5634_20161011,98.0,82,Wiping cloths not clean or properly stored or inadequate sanitizer.
AT&T - COMMISARY KITCHEN [145184],San Francisco,CA,94107,5634_20170424,98.0,83,Unclean or degraded floors walls or ceilings.
AT&T - COMMISARY KITCHEN [145184],San Francisco,CA,94107,5634_20170919,92.0,54,Wiping cloths not clean or properly stored or inadequate sanitizer. Moderate risk food holding temperature. Unclean or degraded floors walls or ceilings.
AT&T - FAB FRY BREAD (LOWER CENTER FIELD) [147480],San Francisco,CA,94107,10377_20161011,93.0,23,Unclean hands or improper use of gloves.
AT&T - FAB FRY BREAD (LOWER CENTER FIELD) [147480],San Francisco,CA,94107,10377_20170424,93.0,35,Unclean or unsanitary food contact surfaces.
AT&T - FAB FRY BREAD (LOWER CENTER FIELD) [147480],San Francisco,CA,94107,10377_20190412,96.0,56,Inadequate and inaccessible handwashing facilities.
AT&T - GHIRARDELLI CHOCOLATE CO. (CLUB LEVEL) [147802],San Francisco,CA,94107,11487_20170424,96.0,56,Insufficient hot water or running water.
AT&T - GHIRARDELLI CHOCOLATE CO. (CLUB LEVEL) [147802],San Francisco,CA,94107,11487_20170919,91.0,34,No hot water or running water. Unapproved or unmaintained equipment or utensils.
AT&T - GHIRARDELLI CHOCOLATE CO. (CLUB LEVEL) [147802],San Francisco,CA,94107,11487_20180911,92.0,57,Inadequate and inaccessible handwashing facilities. Inadequate procedures or records for time as a public health control.
AT&T - GHIRARDELLI CHOCOLATE CO. (VIEW LEVEL) [147802],San Francisco,CA,94107,11488_20180911,96.0,59,Inadequate procedures or records for time as a public health control.
AT&T - Juma Cart 1 - Coffee,San Francisco,CA,94107,5544_20170424,98.0,93,Inadequate warewashing facilities or equipment.
AT&T - PANTRY/WALK-IN BOX/suite [145163],San Francisco,CA,94107,5619_20170424,90.0,58,Inadequately cleaned or sanitized food contact surfaces. Moderate risk vermin infestation. Unapproved or unmaintained equipment or utensils.
AT&T PARK - (CART 6) Espresso & Dessert,San Francisco,CA,94107,76223_20170919,98.0,91,Unapproved or unmaintained equipment or utensils.
AT&T PARK - (CART 6) Espresso & Dessert,San Francisco,CA,94107,76223_20180928,96.0,52,Inadequately cleaned or sanitized food contact surfaces.
AT&T PARK - Draft Beer Cart,San Francisco,CA,94107,79010_20170919,92.0,60,Inadequate and inaccessible handwashing facilities. Inadequately cleaned or sanitized food contact surfaces.
AT&T PARK - Food Cart,San Francisco,CA,94107,78368_20161011,93.0,14,Unclean hands or improper use of gloves.
AT&T PARK - Internet Cafe,San Francisco,CA,94107,76233_20161011,94.0,66,Improper storage of equipment utensils or linens. Moderate risk food holding temperature.
AT&T PARK - Internet Cafe,San Francisco,CA,94107,76233_20170424,92.0,66,Inadequately cleaned or sanitized food contact surfaces. Inadequate and inaccessible handwashing facilities.
AT&T PARK - Internet Cafe,San Francisco,CA,94107,76233_20170919,94.0,52,Inadequately cleaned or sanitized food contact surfaces. Unclean or degraded floors walls or ceilings.
AT&T PARK - Internet Cafe,San Francisco,CA,94107,76233_20180928,90.0,56,Unclean or degraded floors walls or ceilings. Inadequately cleaned or sanitized food contact surfaces. Inadequate and inaccessible handwashing facilities.
AT&T PARK - WINE BAR/VINTAGE '58,San Francisco,CA,94107,74327_20170424,96.0,64,Moderate risk vermin infestation.
"AT&T Park - Cream, Inc.",San Francisco,CA,94107,90989_20170424,98.0,95,Wiping cloths not clean or properly stored or inadequate sanitizer.
"AT&T Park - Cream, Inc.",San Francisco,CA,94107,90991_20170919,96.0,70,Inadequate and inaccessible handwashing facilities.
"AT&T Park - Cream, Inc.",San Francisco,CA,94107,90991_20190412,96.0,61,Inadequate and inaccessible handwashing facilities.
"AT&T Park - Cream, Inc.",San Francisco,CA,94107,90991_20190719,92.0,55,Inadequately cleaned or sanitized food contact surfaces. Foods not protected from contamination.
ATAMI SUSHI BAR & GRILL,San Francisco,CA,94123,2061_20180223,94.0,56,Wiping cloths not clean or properly stored or inadequate sanitizer. Foods not protected from contamination.
ATAMI SUSHI BAR & GRILL,San Francisco,CA,94123,2061_20190430,89.0,36,Unclean or unsanitary food contact surfaces. Inadequately cleaned or sanitized food contact surfaces.
ATLAS CAFE,San Francisco,CA,94110,1792_20170419,90.0,57,Unclean nonfood contact surfaces. Inadequate and inaccessible handwashing facilities. Unclean or degraded floors walls or ceilings. Food safety certificate or food handler card not available.
ATLAS CAFE,San Francisco,CA,94110,1792_20171106,98.0,78,Low risk vermin infestation.
ATLAS CAFE,San Francisco,CA,94110,1792_20181217,88.0,62,Food safety certificate or food handler card not available. Moderate risk vermin infestation. Moderate risk food holding temperature. Wiping cloths not clean or properly stored or inadequate sanitizer.
AUTO CITY Food Mart,San Francisco,CA,94110,7491_20170111,80.0,26,Unapproved food source. High risk food holding temperature. Inadequate warewashing facilities or equipment. Improper storage of equipment utensils or linens. Improper storage use or identification of toxic substances.
AUTO CITY Food Mart,San Francisco,CA,94110,7491_20171121,89.0,9,No hot water or running water. Moderate risk food holding temperature.
AUTO CITY Food Mart,San Francisco,CA,94110,7491_20190807,98.0,90,Permit license or inspection report not posted.
AVEDANO'S HOLLY PARK MARKET,San Francisco,CA,94115,96575_20180830,96.0,69,Moderate risk vermin infestation.
AXUM,San Francisco,CA,94117,1636_20181003,88.0,58,Unapproved or unmaintained equipment or utensils. Wiping cloths not clean or properly stored or inadequate sanitizer. Improper thawing methods. Inadequate and inaccessible handwashing facilities.
Aatame LLC dba Wetzel's Pretzel,San Francisco,CA,94132,88461_20170315,96.0,86,Wiping cloths not clean or properly stored or inadequate sanitizer. Permit license or inspection report not posted.
Aatame LLC dba Wetzel's Pretzel,San Francisco,CA,94132,88461_20171011,96.0,91,Wiping cloths not clean or properly stored or inadequate sanitizer. Unapproved or unmaintained equipment or utensils.
Aatame LLC dba Wetzel's Pretzel,San Francisco,CA,94132,88461_20190314,85.0,35,Inadequate and inaccessible handwashing facilities. Unclean hands or improper use of gloves. Wiping cloths not clean or properly stored or inadequate sanitizer. Permit license or inspection report not posted.
Above and Beyond Catering,San Francisco,CA,94107,86587_20161209,94.0,58,Foods not protected from contamination. Food safety certificate or food handler card not available.
Above and Beyond Catering,San Francisco,CA,94107,86587_20180611,96.0,63,Inadequate food safety knowledge or lack of certified food safety manager.
Above and Beyond Catering,San Francisco,CA,94107,86587_20190806,96.0,57,Noncompliance with HAACP plan or variance.
Academy Bar & Kitchen,San Francisco,CA,94115,1778_20171213,94.0,56,Inadequately cleaned or sanitized food contact surfaces. Unapproved or unmaintained equipment or utensils.
Academy Bar & Kitchen,San Francisco,CA,94115,1778_20180927,91.0,36,Unclean or unsanitary food contact surfaces. Unapproved or unmaintained equipment or utensils.
Academy of Arts Univ- I House Cafe,San Francisco,CA,94109,2920_20170417,96.0,61,Moderate risk vermin infestation.
Academy of Arts Univ- I House Cafe,San Francisco,CA,94109,2920_20190717,96.0,81,Low risk vermin infestation. Unapproved or unmaintained equipment or utensils.
Academy of Arts University,San Francisco,CA,94109,2929_20180604,98.0,79,Unclean nonfood contact surfaces.
Access SFUSD: Bay Street,San Francisco,CA,94109,90233_20171208,96.0,80,Unapproved or unmaintained equipment or utensils. Food safety certificate or food handler card not available.
Access SFUSD: Bay Street,San Francisco,CA,94109,90233_20180227,96.0,98,Permit license or inspection report not posted. Food safety certificate or food handler card not available.
Access SFUSD: Bay Street,San Francisco,CA,94109,90233_20181004,94.0,70,Inadequate and inaccessible handwashing facilities. Food safety certificate or food handler card not available.
Access SFUSD: Bay Street,San Francisco,CA,94109,90233_20190305,98.0,88,Food safety certificate or food handler card not available.
Ace King BBQ,San Francisco,CA,94121,94954_20180717,75.0,1,Foods not protected from contamination. Unapproved or unmaintained equipment or utensils. Inadequate and inaccessible handwashing facilities. Noncompliance with shell fish tags or display. Unclean or unsanitary food contact surfaces. Improper thawing methods.
Ace King BBQ,San Francisco,CA,94121,94954_20190501,80.0,58,Other low risk violation. Improper food storage. Moderate risk food holding temperature. Inadequate and inaccessible handwashing facilities. Inadequately cleaned or sanitized food contact surfaces. Unapproved or unmaintained equipment or utensils. Unclean nonfood contact surfaces.
Acme Bread Company,San Francisco,CA,94111,7546_20190520,92.0,51,Inadequately cleaned or sanitized food contact surfaces. Foods not protected from contamination.
Acquolina,San Francisco,CA,94133,82950_20180420,86.0,54,Food safety certificate or food handler card not available. Moderate risk vermin infestation. Insufficient hot water or running water. Inadequately cleaned or sanitized food contact surfaces.
Acquolina,San Francisco,CA,94133,82950_20190219,86.0,5,Unclean or unsanitary food contact surfaces. High risk food holding temperature.
Acquolina,San Francisco,CA,94133,82950_20190822,87.0,38,Improper or defective plumbing. High risk vermin infestation. Moderate risk food holding temperature.
Ada's Cafe,San Francisco,CA,94105,86485_20180820,94.0,52,Inadequately cleaned or sanitized food contact surfaces. Unclean nonfood contact surfaces.
Adam's Grub LLC,San Francisco,CA,94158,88058_20180627,81.0,43,Mobile food facility not operating with an approved commissary. Inadequate ventilation or lighting. Permit license or inspection report not posted. Food safety certificate or food handler card not available. Inadequate and inaccessible handwashing facilities. Other low risk violation.
Advance Magazine Publishers Inc.,San Francisco,CA,94107,80935_20170925,94.0,55,Improper food storage. Inadequately cleaned or sanitized food contact surfaces.
Advance Magazine Publishers Inc.,San Francisco,CA,94107,80935_20180629,96.0,60,Moderate risk food holding temperature.
Agricole II,San Francisco,CA,94103,94706_20190909,77.0,41,Unclean or degraded floors walls or ceilings. Moderate risk vermin infestation. Inadequately cleaned or sanitized food contact surfaces. Food safety certificate or food handler card not available. Unclean hands or improper use of gloves. Moderate risk food holding temperature.
Ahipoki Bowl,San Francisco,CA,94132,95174_20180417,94.0,54,Foods not protected from contamination. Wiping cloths not clean or properly stored or inadequate sanitizer.
Aicha,San Francisco,CA,94109,59949_20161021,85.0,9,Inadequately cleaned or sanitized food contact surfaces. Moderate risk food holding temperature. High risk vermin infestation.
Aicha,San Francisco,CA,94109,59949_20171017,94.0,68,Unclean or degraded floors walls or ceilings. Foods not protected from contamination.
Aicha,San Francisco,CA,94109,59949_20180521,96.0,54,Moderate risk food holding temperature.
Aicha,San Francisco,CA,94109,59949_20190215,91.0,5,Food safety certificate or food handler card not available. Improper cooling methods.
Aina,San Francisco,CA,94107,86362_20180126,88.0,51,Noncompliance with HAACP plan or variance. Moderate risk food holding temperature. Inadequate and inaccessible handwashing facilities.
Ajisen Ramen,San Francisco,CA,94103,63757_20170329,85.0,40,Moderate risk vermin infestation. High risk food holding temperature. Inadequately cleaned or sanitized food contact surfaces.
Ajisen Ramen,San Francisco,CA,94103,63757_20180108,80.0,46,No hot water or running water. Noncompliance with HAACP plan or variance. Unclean nonfood contact surfaces. High risk vermin infestation.
Ajisen Ramen,San Francisco,CA,94103,63757_20190606,88.0,61,Inadequate dressing rooms or improper storage of personal items. Moderate risk food holding temperature. Insufficient hot water or running water. Wiping cloths not clean or properly stored or inadequate sanitizer.
Akiba,San Francisco,CA,94121,66972_20181115,96.0,85,Improper or defective plumbing. Improper storage of equipment utensils or linens.
Akiko's Sushi Bar,San Francisco,CA,94102,102_20161103,85.0,32,Food safety certificate or food handler card not available. Unclean or unsanitary food contact surfaces. Unclean nonfood contact surfaces. Inadequate and inaccessible handwashing facilities.
Akiko's Sushi Bar,San Francisco,CA,94102,102_20170728,92.0,59,Moderate risk food holding temperature. Inadequately cleaned or sanitized food contact surfaces.
Akiko's Sushi Bar,San Francisco,CA,94102,102_20180302,86.0,54,Inadequate ventilation or lighting. Foods not protected from contamination. Inadequately cleaned or sanitized food contact surfaces. Insufficient hot water or running water.
Akiko's Sushi Bar,San Francisco,CA,94102,102_20190508,94.0,57,Wiping cloths not clean or properly stored or inadequate sanitizer. Moderate risk food holding temperature.
Akikos Sushi,San Francisco,CA,94108,121_20170418,90.0,70,Inadequately cleaned or sanitized food contact surfaces. Noncompliance with HAACP plan or variance. Improper or defective plumbing.
Akikos Sushi,San Francisco,CA,94108,121_20180514,90.0,63,Permit license or inspection report not posted. Inadequate and inaccessible handwashing facilities. Moderate risk vermin infestation.
Akikos Sushi,San Francisco,CA,94108,121_20190308,90.0,57,Improper or defective plumbing. Moderate risk vermin infestation. Noncompliance with HAACP plan or variance.
Akikos Sushi,San Francisco,CA,94108,121_20191002,88.0,52,Insufficient hot water or running water. Moderate risk vermin infestation. Inadequately cleaned or sanitized food contact surfaces.
Akira Japanese Restaurant,San Francisco,CA,94109,88688_20170111,90.0,70,Moderate risk food holding temperature. Inadequate and inaccessible handwashing facilities. Wiping cloths not clean or properly stored or inadequate sanitizer.
Akira Japanese Restaurant,San Francisco,CA,94109,88688_20180724,90.0,67,Unapproved or unmaintained equipment or utensils. Moderate risk food holding temperature. Improper thawing methods.
Akira Japanese Restaurant,San Francisco,CA,94109,88688_20190128,85.0,13,Moderate risk food holding temperature. Inadequate and inaccessible handwashing facilities. Unclean or unsanitary food contact surfaces.
Akira Japanese Restaurant,San Francisco,CA,94109,88688_20190812,88.0,60,Foods not protected from contamination. Moderate risk food holding temperature. Wiping cloths not clean or properly stored or inadequate sanitizer. Improper storage of equipment utensils or linens.
Al's Place,San Francisco,CA,94110,80669_20170816,86.0,69,Inadequate HACCP plan record keeping. Inadequate and inaccessible handwashing facilities. Food safety certificate or food handler card not available. Low risk vermin infestation. Unclean or degraded floors walls or ceilings. Unapproved or unmaintained equipment or utensils.
Al's Place,San Francisco,CA,94110,80669_20180419,90.0,56,Inadequately cleaned or sanitized food contact surfaces. Improper food storage. Inadequate and inaccessible handwashing facilities.
Al's Place,San Francisco,CA,94110,80669_20190424,93.0,7,Unclean or unsanitary food contact surfaces.
Al's Super Cafe,San Francisco,CA,94110,65852_20170721,88.0,58,Foods not protected from contamination. Food safety certificate or food handler card not available. Wiping cloths not clean or properly stored or inadequate sanitizer. Moderate risk vermin infestation.
Al's Super Cafe,San Francisco,CA,94110,65852_20190107,94.0,52,Food safety certificate or food handler card not available. Insufficient hot water or running water.
Al's Super Cafe,San Francisco,CA,94110,65852_20190717,96.0,53,Moderate risk food holding temperature.
Alamo Drafthouse Cinema,San Francisco,CA,94110,85169_20170921,91.0,5,Improper or defective plumbing. Unclean or unsanitary food contact surfaces.
Alamo Drafthouse Cinema,San Francisco,CA,94110,85169_20180430,89.0,36,Inadequate and inaccessible handwashing facilities. Unclean or unsanitary food contact surfaces.
Alamo Drafthouse Cinema,San Francisco,CA,94110,85169_20181128,94.0,61,Low risk vermin infestation. Improper thawing methods.
Alamo Drafthouse Cinema,San Francisco,CA,94110,85169_20190910,94.0,69,Inadequate and inaccessible handwashing facilities. Unclean or degraded floors walls or ceilings.
Alamo Square Cafe,San Francisco,CA,95117,95033_20190514,96.0,81,Improper storage of equipment utensils or linens. Wiping cloths not clean or properly stored or inadequate sanitizer.
Alba Ray's,San Francisco,CA,94110,90239_20170906,88.0,61,Inadequate and inaccessible handwashing facilities. Noncompliance with HAACP plan or variance. Improper thawing methods.
Alba Ray's,San Francisco,CA,94110,90239_20180430,88.0,65,Noncompliance with shell fish tags or display. Noncompliance with HAACP plan or variance. Inadequate food safety knowledge or lack of certified food safety manager.
Alba Ray's,San Francisco,CA,94110,90239_20190701,72.0,7,Improper cooling methods. Inadequate and inaccessible handwashing facilities. Unclean or degraded floors walls or ceilings. Noncompliance with HAACP plan or variance. Improper or defective plumbing. High risk vermin infestation. Unapproved or unmaintained equipment or utensils.
Alcatraz Landing Cafe,San Francisco,CA,94111,84983_20161007,91.0,8,Unclean or degraded floors walls or ceilings. High risk vermin infestation.
Alcatraz Landing Cafe,San Francisco,CA,94111,84983_20171011,96.0,76,Wiping cloths not clean or properly stored or inadequate sanitizer. Improper food storage.
Alcatraz Landing Cafe,San Francisco,CA,94111,84983_20180607,96.0,78,Inadequate ventilation or lighting. Improper or defective plumbing.
Alcatraz Market,San Francisco,CA,94109,91986_20170707,96.0,64,Other moderate risk violation.
Alcatraz Market,San Francisco,CA,94109,91986_20190507,98.0,77,Low risk vermin infestation.
